year,percent,age_group
2002,0,60 and over
2003,4,60 and over
2004,10,60 and over
2005,17,60 and over
2006,29,60 and over
2007,46,60 and over
2008,58,60 and over
2009,67,60 and over
2010,89,60 and over
2011,100,60 and over
2012,116,60 and over
2013,130,60 and over
2014,146,60 and over
2015,172,60 and over
2016,195,60 and over
2017,218,60 and over
2018,232,60 and over
2019,236,60 and over
2020,228,60 and over
2021,230,60 and over
2022,254,60 and over
2023,288,60 and over
2024,318,60 and over
2025,332,60 and over
2002,0,50–59
2003,4,50–59
2004,9,50–59
2005,19,50–59
2006,28,50–59
2007,38,50–59
2008,43,50–59
2009,52,50–59
2010,63,50–59
2011,79,50–59
2012,95,50–59
2013,104,50–59
2014,122,50–59
2015,138,50–59
2016,149,50–59
2017,158,50–59
2018,160,50–59
2019,158,50–59
2020,151,50–59
2021,146,50–59
2022,156,50–59
2023,174,50–59
2024,183,50–59
2025,183,50–59
2002,0,30-49
2003,7,30-49
2004,11,30-49
2005,15,30-49
2006,18,30-49
2007,18,30-49
2008,23,30-49
2009,24,30-49
2010,27,30-49
2011,30,30-49
2012,32,30-49
2013,33,30-49
2014,37,30-49
2015,41,30-49
2016,41,30-49
2017,43,30-49
2018,39,30-49
2019,40,30-49
2020,38,30-49
2021,38,30-49
2022,46,30-49
2023,59,30-49
2024,65,30-49
2025,66,30-49
2002,0,18-29
2003,1,18-29
2004,0,18-29
2005,0,18-29
2006,1,18-29
2007,4,18-29
2008,9,18-29
2009,9,18-29
2010,10,18-29
2011,7,18-29
2012,6,18-29
2013,-2,18-29
2014,-2,18-29
2015,-6,18-29
2016,-11,18-29
2017,-13,18-29
2018,-18,18-29
2019,-20,18-29
2020,-26,18-29
2021,-29,18-29
2022,-30,18-29
2023,-29,18-29
2024,-31,18-29
2025,-33,18-29
2002,0,15–17
2003,-13,15–17
2004,-12,15–17
2005,-10,15–17
2006,-6,15–17
2007,-6,15–17
2008,-3,15–17
2009,-18,15–17
2010,-36,15–17
2011,-39,15–17
2012,-51,15–17
2013,-67,15–17
2014,-71,15–17
2015,-74,15–17
2016,-76,15–17
2017,-75,15–17
2018,-75,15–17
2019,-78,15–17
2020,-83,15–17
2021,-86,15–17
2022,-87,15–17
2023,-87,15–17
2024,-89,15–17
2025,-90,15–17
