year,percent,ethnicity
2004,0,White
2005,10.8,White
2006,11.4,White
2007,13.6,White
2008,17.4,White
2009,18.4,White
2010,19.4,White
2011,20.7,White
2012,20.6,White
2013,18.4,White
2014,21.9,White
2015,23.8,White
2016,22.1,White
2017,22.4,White
2018,17.5,White
2019,16.7,White
2020,11.9,White
2021,9.7,White
2022,13.1,White
2023,20.6,White
2024,22.6,White
2025,22.3,White
2004,0,Black
2005,11.2,Black
2006,17.5,Black
2007,19.6,Black
2008,25,Black
2009,20.5,Black
2010,15.9,Black
2011,10.8,Black
2012,12.3,Black
2013,8,Black
2014,7.4,Black
2015,6.4,Black
2016,4.1,Black
2017,6.1,Black
2018,3.7,Black
2019,5.1,Black
2020,1.9,Black
2021,-0.5,Black
2022,0.2,Black
2023,4.5,Black
2024,5.3,Black
2025,2.7,Black
2004,0,Asian
2005,19,Asian
2006,33.4,Asian
2007,37.8,Asian
2008,51.3,Asian
2009,57.4,Asian
2010,57.5,Asian
2011,61.4,Asian
2012,65.1,Asian
2013,68.7,Asian
2014,72.4,Asian
2015,82.2,Asian
2016,78.8,Asian
2017,82.1,Asian
2018,72.9,Asian
2019,73,Asian
2020,64.4,Asian
2021,68.1,Asian
2022,70.3,Asian
2023,78.3,Asian
2024,87.5,Asian
2025,80.7,Asian
2004,0,Mixed
2005,16,Mixed
2006,23.7,Mixed
2007,31.3,Mixed
2008,44.8,Mixed
2009,53.1,Mixed
2010,61.1,Mixed
2011,67.5,Mixed
2012,70,Mixed
2013,72.6,Mixed
2014,87.2,Mixed
2015,87.9,Mixed
2016,97.2,Mixed
2017,104.7,Mixed
2018,102.6,Mixed
2019,107.3,Mixed
2020,106.8,Mixed
2021,106.2,Mixed
2022,112.9,Mixed
2023,123.4,Mixed
2024,125.4,Mixed
2025,126,Mixed
