characteristic,general_pop,prison_all,prison_male,prison_female
Taken into care as a child ,2,,24,31
Experienced abuse as a child,20,29,27,53
Observed violence in the home as a child,14,41,40,50
Regularly truant from school,5,59,,
Expelled or permanently excluded from school,<1,42,43,32
No qualifications,15,47,,
Unemployed in the four weeks before custody,7.7,68,67,81
Never had a job,3.9,13,,
Homeless before entering custody,4,15,,
Have children under the age of 18,27,,45,47
Are young fathers (aged 18-20),4,,19,
Have symptoms indicative of psychosis,4,16,15,25
Identified as suffering from both anxiety and depression,15,25,23,49
Have attempted suicide at some point,6,,21,46
Have ever used Class A drug,13,64,,
Drank alcohol every day in the four weeks before custody,16,22,,
