year,life_unreleased,life_recalled,ipp_unreleased,ipp_recalled,indet_unreleased,indet_recalled
2002,5146,0,0,0,5146,0
2003,5419,0,0,0,5419,0
2004,5595,0,0,0,5595,0
2005,5858,0,24,0,5882,0
2006,6195,0,1079,0,7274,0
2007,6622,0,2859,0,9481,0
2008,6922,0,4461,0,11383,0
2009,6942,0,5240,0,12182,0
2010,7475,0,5659,0,13134,0
2011,7588,0,6056,0,13644,0
2012,7674,0,6080,0,13754,0
2013,7565,0,5617,0,13182,0
2014,7469,0,5118,0,12587,0
2015,7439,304,4614,426,12053,730
2016,7361,349,3998,621,11359,970
2017,7247,374,3353,760,10600,1134
2018,7117,400,2745,928,9862,1328
2019,7027,497,2315,1114,9342,1611
2020,6985,620,1969,1359,8954,1979
2021,6963,658,1722,1357,8685,2015
2022,7084,681,1492,1434,8576,2115
2023,7202,841,1312,1597,8514,2438
2024,7391,836,1130,1602,8521,2438
