year,country,value_crime,value_prison
1950,England & Wales,952,47
1960,England & Wales,1420,59
1970,England & Wales,2797,80
1980,England & Wales,4772,87
1990,England & Wales,7938,90
2000,England & Wales,8775,124
2010,England & Wales,6613,153
2020,England & Wales,6866,133
1950,Finland,1272,187
1960,Finland,1466,154
1970,Finland,2672,111
1980,Finland,5592,106
1990,Finland,10109,69
2000,Finland,8744,55
2010,Finland,8030,61
2020,Finland,9820,51
1960,Canada,2771,115
1970,Canada,5212,104
1980,Canada,8343,96
1990,Canada,9485,121
2000,Canada,7610,115
2010,Canada,6160,117
2020,Canada,5342,104
