Years over tariff,short_year,number,,
Less than 1 year,<1,16,,
From 1 year to less than 2 years,1,13,,
From 2 years to less than 3 years,2,17,,
From 3 years to less than 4 years,3,28,,
From 4 years to less than 5 years,4,50,,
From 5 years to less than 6 years,5,53,,
From 6 years to less than 7 years,6,70,,
From 7 years to less than 8 years,7,99,,
From 8 years to less than 9 years,8,85,,
From 9 years to less than 10 years,9,132,,
From 10 years to less than 11 years ,10,132,,
From 11 years to less than 12 years ,11,117,,
From 12 years to less than 13 years ,12,128,,
From 13 years to less than 14 years ,13,128,,
From 14 years to less than 15 years ,14,94,,
From 15 years to less than 16 years ,15,62,,
From 16 years to less than 17 years ,16,21,,
From 17 years to less than 18 years ,17,1,,
From 18 years to less than 19 years ,18,1,,
,,,,Table 1: Years over tariff by exact number of years
,,,,Source: Combined data from Table 1.9b from OM Quarterly with PQ HL423
,,,,Date: 30 September 2023
,,,,
  ,,,,
