date,population,l_projection,c_projection,h_projection
1990-06-30,44975,,,
1991-06-30,44809,,,
1992-06-30,44719,,,
1993-06-30,44552,,,
1994-06-30,48621,,,
1995-06-30,50962,,,
1996-06-30,55281,,,
1997-06-30,61114,,,
1998-06-30,65298,,,
1999-06-30,64771,,,
2000-06-30,64602,,,
2001-06-30,66301,,,
2002-06-30,70778,,,
2003-06-30,73038,,,
2004-06-30,74657,,,
2005-06-30,75979,,,
2006-06-30,78127,,,
2007-06-30,80216,,,
2008-06-30,82572,,,
2009-06-30,83559,,,
2010-06-30,84725,,,
2011-06-30,85951,,,
2012-06-30,86634,,,
2013-06-30,84249,,,
2014-06-30,85307,,,
2015-06-30,85626,,,
2016-06-30,85348,,,
2017-06-30,85632,,,
2018-06-30,83296,,,
2019-06-30,82710,,,
2020-06-30,79514,,,
2021-06-30,78324,,,
2022-06-30,80659,,,
2023-06-30,85851,,,
2024-07-05,87453,,87453,
2024-11-30,,91300,94500,97000
2025-11-30,,93800,99500,104600
2026-11-30,,95800,103300,110700
2027-11-30,,95100,105400,114200
2028-03-31,,94600,105800,114800
