date,recall_pop
Jun-2009,"5,958"
Jun-2010,"5,350"
Jul-2010,"5,467"
Aug-2010,"5,560"
Sep-2010,"5,659"
Oct-2010,"5,656"
Nov-2010,"5,738"
Dec-2010,"5,548"
Jan-2011,"5,694"
Feb-2011,"5,677"
Mar-2011,"5,625"
Apr-2011,"5,509"
May-2011,"5,626"
Jun-2011,"5,646"
Jul-2011,"5,633"
Aug-2011,"5,714"
Sep-2011,"5,731"
Oct-2011,"5,690"
Nov-2011,"5,655"
Dec-2011,"5,561"
Jan-2012,"5,756"
Feb-2012,"5,629"
Mar-2012,"5,512"
Apr-2012,"5,483"
May-2012,"5,485"
Jun-2012,"5,417"
Jul-2012,"5,605"
Aug-2012,"5,602"
Sep-2012,"5,560"
Oct-2012,"5,515"
Nov-2012,"5,473"
Dec-2012,"5,338"
Jan-2013,"5,307"
Feb-2013,"5,289"
Mar-2013,"5,140"
Apr-2013,"5,099"
May-2013,"5,073"
Jun-2013,"5,108"
Jul-2013,"5,170"
Aug-2013,"5,103"
Sep-2013,"5,134"
Oct-2013,"5,123"
Nov-2013,"5,148"
Dec-2013,"5,125"
Jan-2014,"5,180"
Feb-2014,"5,216"
Mar-2014,"5,191"
Apr-2014,"5,056"
May-2014,"5,087"
Jun-2014,"5,260"
Jul-2014,"5,326"
Aug-2014,"5,377"
Sep-2014,"5,567"
Oct-2014,"5,600"
Nov-2014,"5,594"
Dec-2014,"5,576"
Jan-2015,"5,670"
Feb-2015,"5,639"
Mar-2015,"5,692"
Apr-2015,"5,759"
May-2015,"5,887"
Jun-2015,"6,176"
Jul-2015,"6,268"
Aug-2015,"6,330"
Sep-2015,"6,356"
Oct-2015,"6,481"
Nov-2015,"6,553"
Dec-2015,"6,481"
Jan-2016,"6,646"
Feb-2016,"6,653"
Mar-2016,"6,564"
Apr-2016,"6,483"
May-2016,"6,562"
Jun-2016,"6,617"
Jul-2016,"6,487"
Aug-2016,"6,487"
Sep-2016,"6,710"
Oct-2016,"6,748"
Nov-2016,"6,688"
Dec-2016,"6,570"
Jan-2017,"6,713"
Feb-2017,"6,557"
Mar-2017,"6,554"
Apr-2017,"6,341"
May-2017,"6,366"
Jun-2017,"6,390"
Jul-2017,"6,356"
Aug-2017,"6,258"
Sep-2017,"6,186"
Oct-2017,"6,195"
Nov-2017,"6,156"
Dec-2017,"6,138"
Jan-2018,"6,242"
Feb-2018,"6,193"
Mar-2018,"6,047"
Apr-2018,"6,217"
May-2018,"6,233"
Jun-2018,"6,293"
Jul-2018,"6,464"
Aug-2018,"6,491"
Sep-2018,"6,635"
Oct-2018,"6,735"
Nov-2018,"6,894"
Dec-2018,"6,965"
Jan-2019,"7,103"
Feb-2019,"7,124"
Mar-2019,"7,179"
Apr-2019,"7,178"
May-2019,"7,280"
Jun-2019,"7,435"
Jul-2019,"7,662"
Aug-2019,"7,770"
Sep-2019,"8,096"
Oct-2019,"8,122"
Nov-2019,"8,241"
Dec-2019,"8,434"
Jan-2020,"8,725"
Feb-2020,"8,737"
Mar-2020,"8,933"
Apr-2020,"9,148"
May-2020,"9,136"
Jun-2020,"9,226"
Jul-2020,"9,344"
Aug-2020,"9,307"
Sep-2020,"9,250"
Oct-2020,"9,218"
Nov-2020,"9,210"
Dec-2020,"9,027"
Jan-2021,"9,227"
Feb-2021,"9,254"
Mar-2021,"9,182"
Apr-2021,"8,983"
May-2021,"9,024"
Jun-2021,"9,092"
Jul-2021,"9,127"
Aug-2021,"9,269"
Sep-2021,"9,254"
Oct-2021,"9,341"
Nov-2021,"9,448"
Dec-2021,"9,559"
Jan-2022,"9,778"
Feb-2022,"9,727"
Mar-2022,"9,798"
Apr-2022,"9,639"
May-2022,"9,783"
Jun-2022,"9,892"
Jul-2022,"10,138"
Aug-2022,"10,317"
Sep-2022,"10,448"
Oct-2022,"10,612"
Nov-2022,"10,779"
Dec-2022,"10,697"
Jan-2023,"11,036"
Feb-2023,"11,240"
Mar-2023,"11,450"
Apr-2023,"11,565"
May-2023,"11,792"
Jun-2023,"11,901"
Jul-2023,"12,025"
Aug-2023,"11,999"
Sep-2023,"12,031"
Oct-2023,"12,151"
Nov-2023,"12,150"
Dec-2023,"12,068"
Jan-2024,"12,308"
Feb-2024,"12,383"
Mar-2024,"12,344"
Apr-2024,"11,983"
May-2024,"11,821"
Jun-2024,"12,199"
Jul-2024,"12,375"
Aug-2024,"12,279"
Sep-2024,"12,579"
Oct-2024,"12,750"
Nov-2024,"12,870"
Dec-2024,"12,920"
