date,remand_pop
30-Jun-10,13004
31-Jul-10,12611
31-Aug-10,13028
30-Sep-10,12706
31-Oct-10,12755
30-Nov-10,12681
31-Dec-10,11784
31-Jan-11,12598
28-Feb-11,12615
31-Mar-11,12300
30-Apr-11,12489
31-May-11,13012
30-Jun-11,12464
31-Jul-11,12585
31-Aug-11,13857
30-Sep-11,13550
31-Oct-11,13288
30-Nov-11,13008
31-Dec-11,12174
31-Jan-12,12685
29-Feb-12,12300
31-Mar-12,11907
30-Apr-12,11917
31-May-12,11467
30-Jun-12,11324
31-Jul-12,11737
31-Aug-12,11863
30-Sep-12,11749
31-Oct-12,11510
30-Nov-12,11171
31-Dec-12,10661
31-Jan-13,10942
28-Feb-13,10970
31-Mar-13,10768
30-Apr-13,11015
31-May-13,10970
30-Jun-13,10971
31-Jul-13,11012
31-Aug-13,10882
30-Sep-13,11429
31-Oct-13,11717
30-Nov-13,11519
31-Dec-13,11256
31-Jan-14,11761
28-Feb-14,11653
31-Mar-14,11800
30-Apr-14,11888
31-May-14,12011
30-Jun-14,12197
31-Jul-14,12316
31-Aug-14,12260
30-Sep-14,12322
31-Oct-14,12261
30-Nov-14,12335
31-Dec-14,11820
31-Jan-15,11931
28-Feb-15,11845
31-Mar-15,11833
30-Apr-15,11801
31-May-15,11737
30-Jun-15,11785
31-Jul-15,11522
31-Aug-15,11571
30-Sep-15,11390
31-Oct-15,11229
30-Nov-15,11275
31-Dec-15,10779
31-Jan-16,10932
29-Feb-16,10608
31-Mar-16,10066
30-Apr-16,9667
31-May-16,9909
30-Jun-16,9288
31-Jul-16,9246
31-Aug-16,9505
30-Sep-16,9551
31-Oct-16,9568
30-Nov-16,9443
31-Dec-16,9251
31-Jan-17,9545
28-Feb-17,9573
31-Mar-17,9419
30-Apr-17,9586
31-May-17,9759
30-Jun-17,9638
31-Jul-17,9975
31-Aug-17,10093
30-Sep-17,9902
31-Oct-17,10114
30-Nov-17,9983
31-Dec-17,9639
31-Jan-18,9900
28-Feb-18,9683
31-Mar-18,9263
30-Apr-18,9464
31-May-18,9431
30-Jun-18,9285
31-Jul-18,9663
31-Aug-18,9611
30-Sep-18,9571
31-Oct-18,9289
30-Nov-18,8975
31-Dec-18,8788
31-Jan-19,8950
28-Feb-19,8897
31-Mar-19,8957
30-Apr-19,9083
31-May-19,9052
30-Jun-19,9145
31-Jul-19,9210
31-Aug-19,9424
30-Sep-19,9602
31-Oct-19,9775
30-Nov-19,9603
31-Dec-19,9708
31-Jan-20,9969
29-Feb-20,10134
31-Mar-20,10043
30-Apr-20,10156
31-May-20,10873
30-Jun-20,11388
31-Jul-20,11768
31-Aug-20,12017
30-Sep-20,12274
31-Oct-20,12244
30-Nov-20,12300
31-Dec-20,12066
31-Jan-21,12307
28-Feb-21,12302
31-Mar-21,12262
30-Apr-21,12458
31-May-21,12588
30-Jun-21,12727
31-Jul-21,12753
31-Aug-21,13199
30-Sep-21,12990
31-Oct-21,13348
30-Nov-21,13326
31-Dec-21,12780
31-Jan-22,13125
28-Feb-22,13037
31-Mar-22,12747
30-Apr-22,12869
31-May-22,13138
30-Jun-22,13409
31-Jul-22,13806
31-Aug-22,14297
30-Sep-22,14507
31-Oct-22,14817
30-Nov-22,14733
31-Dec-22,14143
31-Jan-23,14531
28-Feb-23,14688
31-Mar-23,14591
30-Apr-23,14851
31-May-23,15291
30-Jun-23,15523
31-Jul-23,15951
31-Aug-23,16129
30-Sep-23,16196
31-Oct-23,16418
30-Nov-23,16186
31-Dec-23,16005
31-Jan-24,16182
29-Feb-24,16340
31-Mar-24,16458
30-Apr-24,16765
31-May-24,17050
30-Jun-24,17070
31-Jul-24,17169
31-Aug-24,17711
30-Sep-24,17662
31-Oct-24,17571
30-Nov-24,17458
31-Dec-24,17023
31-Jan-25,17328
28-Feb-25,17409
31-Mar-25,17582
30-Apr-25,17782
31-May-25,17471
30-Jun-25,17701
31-Jul-25,17570
31-Aug-25,17947
30-Sep-25,17700
,
