year,percent,sentence
2010,0,Over 10 years (exc. indeterminate)
2011,30.54,Over 10 years (exc. indeterminate)
2012,28.6,Over 10 years (exc. indeterminate)
2013,82.1,Over 10 years (exc. indeterminate)
2014,91.25,Over 10 years (exc. indeterminate)
2015,117.32,Over 10 years (exc. indeterminate)
2016,113.23,Over 10 years (exc. indeterminate)
2017,170.23,Over 10 years (exc. indeterminate)
2018,174.12,Over 10 years (exc. indeterminate)
2019,146.11,Over 10 years (exc. indeterminate)
2020,41.25,Over 10 years (exc. indeterminate)
2021,137.16,Over 10 years (exc. indeterminate)
2022,142.02,Over 10 years (exc. indeterminate)
2023,198.64,Over 10 years (exc. indeterminate)
2024,222.37,Over 10 years (exc. indeterminate)
2010,0,4 years to 10 years
2011,12.03,4 years to 10 years
2012,2.16,4 years to 10 years
2013,4.05,4 years to 10 years
2014,6.38,4 years to 10 years
2015,9.45,4 years to 10 years
2016,13.05,4 years to 10 years
2017,25.33,4 years to 10 years
2018,11.93,4 years to 10 years
2019,7.52,4 years to 10 years
2020,-26.59,4 years to 10 years
2021,-1.86,4 years to 10 years
2022,-3.39,4 years to 10 years
2023,10.91,4 years to 10 years
2024,10.34,4 years to 10 years
2010,0,12 months to less than 4 years
2011,6.75,12 months to less than 4 years
2012,-1.95,12 months to less than 4 years
2013,-8.01,12 months to less than 4 years
2014,-12.26,12 months to less than 4 years
2015,-12.94,12 months to less than 4 years
2016,-14.96,12 months to less than 4 years
2017,-10.97,12 months to less than 4 years
2018,-20.66,12 months to less than 4 years
2019,-20.67,12 months to less than 4 years
2020,-35.9,12 months to less than 4 years
2021,-27.43,12 months to less than 4 years
2022,-27.58,12 months to less than 4 years
2023,-19.54,12 months to less than 4 years
2024,-13.07,12 months to less than 4 years
2010,0,6 months to less than 12 months
2011,6.54,6 months to less than 12 months
2012,-2.89,6 months to less than 12 months
2013,-7.25,6 months to less than 12 months
2014,-14.05,6 months to less than 12 months
2015,-11.64,6 months to less than 12 months
2016,-8.49,6 months to less than 12 months
2017,-4.64,6 months to less than 12 months
2018,-13.27,6 months to less than 12 months
2019,-12.47,6 months to less than 12 months
2020,-24.13,6 months to less than 12 months
2021,-22.25,6 months to less than 12 months
2022,-23.29,6 months to less than 12 months
2023,-21.96,6 months to less than 12 months
2024,-16.32,6 months to less than 12 months
2010,0,Less than 6 months
2011,2.32,Less than 6 months
2012,-4.94,Less than 6 months
2013,-9.7,Less than 6 months
2014,-9.54,Less than 6 months
2015,-12.06,Less than 6 months
2016,-13.13,Less than 6 months
2017,-16.25,Less than 6 months
2018,-25,Less than 6 months
2019,-32.79,Less than 6 months
2020,-47.17,Less than 6 months
2021,-50.15,Less than 6 months
2022,-48.43,Less than 6 months
2023,-42.56,Less than 6 months
2024,-31.83,Less than 6 months
