ids,death_type,value,parent
Total deaths,Total deaths,342,
Self-inflicted,Self-inflicted,89,Total deaths
Self-inflicted - Male,Male,85,Self-inflicted
Self-inflicted - Female,Female,4,Self-inflicted
Natural causes,Natural causes,192,Total deaths
Natural causes - Male,Male,188,Natural causes
Natural causes - Female,Female,4,Natural causes
Homicide,Homicide,7,Total deaths
Homicide - Male,Male,7,Homicide
Homicide - Female,Female,0,Homicide
Other,Other,54,Total deaths
Other - Male,Male,53,Other
Other - Female,Female,1,Other
