year,percent,type
2008–09,72,Safety
2009–10,78,Safety
2010–11,84,Safety
2011–12,83,Safety
2012–13,80,Safety
2013–14,69,Safety
2014–15,52,Safety
2015–16,56,Safety
2016–17,38,Safety
2017–18,36,Safety
2018–19,37,Safety
2019–20,49,Safety
2021-22,40,Safety
2022-23,51,Safety
2023-24,72,Safety
2024-25,55,Safety
2008–09,69,Respect
2009–10,76,Respect
2010–11,74,Respect
2011–12,74,Respect
2012–13,73,Respect
2013–14,67,Respect
2014–15,64,Respect
2015–16,78,Respect
2016–17,49,Respect
2017–18,59,Respect
2018–19,60,Respect
2019–20,74,Respect
2021-22,55,Respect
2022-23,72,Respect
2023-24,72,Respect
2024-25,55,Respect
2008–09,71,Purposeful activity
2009–10,68,Purposeful activity
2010–11,69,Purposeful activity
2011–12,72,Purposeful activity
2012–13,50,Purposeful activity
2013–14,61,Purposeful activity
2014–15,36,Purposeful activity
2015–16,49,Purposeful activity
2016–17,51,Purposeful activity
2017–18,43,Purposeful activity
2018–19,34,Purposeful activity
2019–20,36,Purposeful activity
2021-22,25,Purposeful activity
2022-23,7,Purposeful activity
2023-24,21,Purposeful activity
2024-25,26,Purposeful activity
2008–09,75,Preparation for release
2009–10,76,Preparation for release
2010–11,71,Preparation for release
2011–12,85,Preparation for release
2012–13,64,Preparation for release
2013–14,75,Preparation for release
2014–15,57,Preparation for release
2015–16,63,Preparation for release
2016–17,54,Preparation for release
2017–18,44,Preparation for release
2018–19,63,Preparation for release
2019–20,44,Preparation for release
2021-22,35,Preparation for release
2022-23,51,Preparation for release
2023-24,56,Preparation for release
2024-25,76,Preparation for release
