prison_name,provider,postal_code,latitude,longitude
Altcourse,Sodexo,L9 7LH,53.460927,-2.936031
Ashfield,Serco,BS16 9QJ,51.482420,-2.438869
Bronzefield,Sodexo,TW15 3JZ,51.432921,-0.482850
Doncaster,Serco,DN5 8UX,53.525178,-1.145003
Dovegate,Serco,ST14 8XR,52.872046,-1.783109
Five Wells,G4S,NN8 2NH,52.297422,-0.697031
Forest Bank,Sodexo,M27 8FB,53.514251,-2.302093
Fosse Way,Serco,LE18 4TN,52.582480,-1.143503
Northumberland,Sodexo,NE65 9XG,55.296086,-1.635300
Oakwood,G4S,WV10 7QD,52.647955,-2.113013
Parc,G4S,CF35 6AP,51.530946,-3.563142
Peterborough,Sodexo,PE3 7PD,52.586514,-0.259961
Rye Hill,G4S,CV23 8SZ,52.327520,-1.242801
Thameside,Serco,SE28 0FJ,51.493450,0.087506
