year,percent,number,type
2010,0,24830,HMPPS employed prison officers
2011,-2,24369,HMPPS employed prison officers
2012,-8,22735,HMPPS employed prison officers
2013,-13,21506,HMPPS employed prison officers
2014,-26,18251,HMPPS employed prison officers
2015,-27,18222,HMPPS employed prison officers
2016,-26,18327,HMPPS employed prison officers
2017,-26,18403,HMPPS employed prison officers
2018,-15,21038,HMPPS employed prison officers
2019,-9,22630,HMPPS employed prison officers
2020,-12,21928,HMPPS employed prison officers
2021,-12,21926,HMPPS employed prison officers
2022,-11,22001,HMPPS employed prison officers
2023,-7,23058,HMPPS employed prison officers
2010,0,85002,Prison population
2011,0.4,85374,Prison population
2012,1.2,86048,Prison population
2013,-1.4,83842,Prison population
2014,0.6,85509,Prison population
2015,1.4,86193,Prison population
2016,0.2,85134,Prison population
2017,1,85863,Prison population
2018,-2.6,82773,Prison population
2019,-2.7,82710,Prison population
2020,-6.5,79514,Prison population
2021,-7.9,78324,Prison population
2022,-5.1,80659,Prison population
2023,-1,85851,Prison population
